,open,high,low,close,adjclose,volume,ticker
2017-03-29,371.5,373.8999938964844,368.79998779296875,370.8999938964844,360.4512634277344,237378.0,ICICIPRULI.NS
2017-03-30,370.95001220703125,375.45001220703125,370.8999938964844,374.3500061035156,363.8040466308594,1950487.0,ICICIPRULI.NS
2017-03-31,372.6000061035156,386.95001220703125,372.5,382.3999938964844,371.62725830078125,1180554.0,ICICIPRULI.NS
2017-04-03,382.54998779296875,386.3500061035156,381.0,385.3500061035156,374.494140625,338548.0,ICICIPRULI.NS
2017-04-05,386.8999938964844,399.45001220703125,386.04998779296875,397.75,386.5447998046875,1333735.0,ICICIPRULI.NS
2017-04-06,398.29998779296875,401.0,391.1000061035156,391.45001220703125,380.42230224609375,464507.0,ICICIPRULI.NS
2017-04-07,391.0,402.8500061035156,390.04998779296875,400.0,388.7314758300781,837076.0,ICICIPRULI.NS
2017-04-10,400.0,401.1499938964844,393.0,394.8500061035156,383.7265930175781,643998.0,ICICIPRULI.NS
2017-04-11,393.3500061035156,398.75,391.5,393.29998779296875,382.2201843261719,395927.0,ICICIPRULI.NS
2017-04-12,392.0,411.0,383.1499938964844,401.1499938964844,389.8490295410156,1234306.0,ICICIPRULI.NS
2017-04-13,401.1499938964844,406.0,396.20001220703125,404.29998779296875,392.9103088378906,1193931.0,ICICIPRULI.NS
2017-04-17,404.1499938964844,405.20001220703125,400.0,402.75,391.40399169921875,506568.0,ICICIPRULI.NS
2017-04-18,405.0,407.0,398.45001220703125,402.6000061035156,391.2582092285156,494894.0,ICICIPRULI.NS
2017-04-19,403.0,405.6499938964844,398.5,399.75,388.48846435546875,500685.0,ICICIPRULI.NS
2017-04-20,402.0,404.0,397.0,399.25,388.0025939941406,219296.0,ICICIPRULI.NS
2017-04-21,402.8999938964844,409.8500061035156,401.1000061035156,407.8500061035156,396.3603210449219,819153.0,ICICIPRULI.NS
2017-04-24,409.0,409.79998779296875,400.79998779296875,402.70001220703125,391.3553771972656,540438.0,ICICIPRULI.NS
2017-04-25,403.8999938964844,422.8500061035156,403.1000061035156,419.8999938964844,408.07080078125,1607040.0,ICICIPRULI.NS
2017-04-26,422.04998779296875,424.0,395.0,401.25,389.9461975097656,1771631.0,ICICIPRULI.NS
2017-04-27,402.0,406.8500061035156,397.0,399.5,388.2455139160156,470937.0,ICICIPRULI.NS
2017-04-28,403.45001220703125,407.79998779296875,402.0,406.0,394.5624084472656,472949.0,ICICIPRULI.NS
2017-05-02,408.0,408.3999938964844,398.5,399.70001220703125,388.4399108886719,278792.0,ICICIPRULI.NS
2017-05-03,399.04998779296875,404.75,397.0,398.70001220703125,387.4681091308594,455632.0,ICICIPRULI.NS
2017-05-04,399.1000061035156,402.70001220703125,391.75,393.20001220703125,382.12298583984375,503425.0,ICICIPRULI.NS
2017-05-05,394.0,395.70001220703125,387.0,391.95001220703125,380.90826416015625,391334.0,ICICIPRULI.NS
2017-05-08,395.8999938964844,415.0,394.95001220703125,410.29998779296875,398.74127197265625,845382.0,ICICIPRULI.NS
2017-05-09,410.29998779296875,415.5,407.25,410.0,398.4497375488281,271823.0,ICICIPRULI.NS
2017-05-10,411.25,414.5,409.1499938964844,410.79998779296875,399.2271728515625,227293.0,ICICIPRULI.NS
2017-05-11,408.79998779296875,418.0,405.1000061035156,410.6499938964844,399.0814208984375,475934.0,ICICIPRULI.NS
2017-05-12,412.6000061035156,414.8999938964844,406.25,410.25,398.6926574707031,472820.0,ICICIPRULI.NS
2017-05-15,411.0,419.8999938964844,409.0,416.79998779296875,405.05816650390625,417009.0,ICICIPRULI.NS
2017-05-16,415.95001220703125,419.8999938964844,412.0,417.5,405.7384338378906,337174.0,ICICIPRULI.NS
2017-05-17,417.1000061035156,420.75,413.0,415.70001220703125,403.9891662597656,251906.0,ICICIPRULI.NS
2017-05-18,411.0,419.3999938964844,410.0,413.45001220703125,401.80255126953125,394445.0,ICICIPRULI.NS
2017-05-19,415.0,417.79998779296875,408.5,410.1000061035156,398.54693603515625,388933.0,ICICIPRULI.NS
2017-05-22,412.0,414.8500061035156,404.1000061035156,406.54998779296875,395.09686279296875,281945.0,ICICIPRULI.NS
2017-05-23,405.75,411.29998779296875,398.04998779296875,410.0,398.4497375488281,437279.0,ICICIPRULI.NS
2017-05-24,409.95001220703125,409.95001220703125,398.25,402.3999938964844,391.0638122558594,814120.0,ICICIPRULI.NS
2017-05-25,403.0,407.20001220703125,398.04998779296875,399.75,388.48846435546875,1769399.0,ICICIPRULI.NS
2017-05-26,403.95001220703125,407.54998779296875,398.04998779296875,400.20001220703125,388.9258117675781,629809.0,ICICIPRULI.NS
2017-05-29,400.54998779296875,401.79998779296875,393.25,394.79998779296875,383.6778869628906,441748.0,ICICIPRULI.NS
2017-05-30,397.0,403.0,394.0,401.6000061035156,390.2864074707031,1057727.0,ICICIPRULI.NS
2017-05-31,398.0,409.0,398.0,406.8500061035156,395.38848876953125,727428.0,ICICIPRULI.NS
2017-06-01,403.0,409.3999938964844,402.1000061035156,403.04998779296875,391.6955261230469,119366.0,ICICIPRULI.NS
2017-06-02,403.0,413.8999938964844,398.0,410.6499938964844,399.0814208984375,797368.0,ICICIPRULI.NS
2017-06-05,409.5,413.5,405.20001220703125,406.45001220703125,394.999755859375,247310.0,ICICIPRULI.NS
2017-06-06,406.0,408.8999938964844,397.70001220703125,400.95001220703125,389.6546936035156,213689.0,ICICIPRULI.NS
2017-06-07,404.5,424.8999938964844,404.5,421.0,409.13983154296875,2430312.0,ICICIPRULI.NS
2017-06-08,422.5,428.0,418.04998779296875,421.25,409.3828125,744147.0,ICICIPRULI.NS
2017-06-09,422.5,436.0,421.0,434.6000061035156,422.3567199707031,983085.0,ICICIPRULI.NS
2017-06-12,434.6000061035156,435.0,420.75,422.75,410.8405456542969,372156.0,ICICIPRULI.NS
2017-06-13,426.3500061035156,432.3999938964844,422.75,428.8999938964844,416.81732177734375,480293.0,ICICIPRULI.NS
2017-06-14,428.04998779296875,446.5,426.25,437.04998779296875,424.7377014160156,1010693.0,ICICIPRULI.NS
2017-06-15,438.0,443.8999938964844,438.0,441.8999938964844,429.4510803222656,327885.0,ICICIPRULI.NS
2017-06-16,444.8999938964844,449.20001220703125,442.54998779296875,444.04998779296875,431.54046630859375,409466.0,ICICIPRULI.NS
2017-06-19,443.0,449.0,442.3999938964844,443.8500061035156,431.34613037109375,190031.0,ICICIPRULI.NS
